Organisation Name,Telephone Number,Website,Hostname,IP Address,Session Start Date/Time,Monitor Resolution,Operating System,Browser,Device Type,Longitude,Latitude,Country,Town / City,County / State,Registered Address,Entry Page,Keywords,Sources,PPC,Organic,Geolocated,Visit Duration,Page Visits
Fanfou,925-725-7302,http://www.fanfou.com,67.238.76.252,132.181.68.224,09-07-2019 07:44,1680 * 1050,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21,Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles --> www.ee-ip.org/articles
Acronis,724-367-7408,http://www.acronis.com,196.36.175.21,214.9.56.189,08-07-2019 15:51,1344 * 840,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,-90.32606,38.64533,United States,Saint Louis,Missouri,,ee-ip.org/articles/detailed/e360b8ba312356f89fce2817eb9aa841/choosing-the-best-techniques-for-waste-heat-recovery,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/e360b8ba312356f89fce2817eb9aa841/choosing-the-best-techniques-for-waste-heat-recovery
Alinea,227-195-4615,http://www.alinea.com,219.78.28.169,190.147.227.86,08-07-2019 15:00,1280 * 720,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,9.2376,45.5135,Italy,Milano,Milano,,ee-ip.org,,www.google.com,0,1,0,1173,www.ee-ip.org --> www.ee-ip.org
Branders,956-179-1739,http://www.branders.com,39.55.231.137,119.112.179.201,08-07-2019 14:43,2560 * 1440,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,Desktop,139.63816,35.56698,Japan,Kawasaki-Shi,Kanagawa,,ee-ip.org/articles/detailed/1e5b82080686ae02120cc4a9400ac380/the-4th-utility-compressed-air,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/1e5b82080686ae02120cc4a9400ac380/the-4th-utility-compressed-air
Mysimon,632-463-3465,http://www.mysimon.com,252.125.0.126,29.246.184.45,08-07-2019 12:42,1500 * 1000,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,4.35249,50.84674,Belgium,Brussels,Brussels,,ee-ip.org,,www.google.com,0,1,0,4677,www.ee-ip.org --> www.ee-ip.org --> www.ee-ip.org/articles
Kazatube,724-367-7408,,199.80.39.62,38.222.50.43,08-07-2019 09:42,384 * 800,5.0 (Linux; Android 4.2.1; en-us; Nexus 5 Build/J,Chrome/38.0.1025.166 Mobile Safari/535.19,Mobile,-1.61083,6.68944,Ghana,Kumasi,Ashanti,,www2.ee-ip.org/content/CompanyPage/show/edur-pumpenfabrik,,,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/edur-pumpenfabrik
Qieguo,960-056-9140,http://www.qieguo.com,186.240.155.178,152.24.180.147,08-07-2019 00:35,1366 * 768,5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,Chrome/60.0.3112.50 Safari/537.36,Desktop,-82.99946,39.99558,United States,Columbus,Ohio,,ee-ip.org,,,0,0,0,9,www.ee-ip.org --> www.ee-ip.org/about --> www.www2.ee-ip.org/content/CompanyPage/show/european-copper-institute/file/325_10_Facts_about_Energy_Management --> www.ee-ip.org/privacy
Fichajes,271-632-7655,http://www.fichajes.com,18.205.96.104,148.195.69.245,07-07-2019 11:39,1280 * 960,"""5.0 (compatible; YandexBot/3.0; +http://yandex.co""",Firefox,Desktop,-121.90678,37.34217,United States,San Jose,California,,ee-ip.org/articles/detailed,,,0,0,0,0,www.ee-ip.org/articles/detailed
Taipei,543-664-3092,http://www.taipei.com,174.121.176.202,49.120.55.113,06-07-2019 20:08,1600 * 900,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134,Desktop,-95.36769,29.75021,United States,Houston,Texas,,ee-ip.org/events,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/events
Qieguo,960-056-9140,http://www.qieguo.com,136.32.177.10,64.183.138.150,06-07-2019 06:11,1366 * 768,5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,Chrome/60.0.3112.50 Safari/537.36,Desktop,-82.99946,39.99558,United States,Columbus,Ohio,,ee-ip.org,,,0,0,0,5,www.ee-ip.org --> www.ee-ip.org/about --> www.www2.ee-ip.org/content/CompanyPage/show/european-copper-institute/file/325_10_Facts_about_Energy_Management --> www.ee-ip.org/privacy
Sabunta,636-034-5005,http://www.sabunta.com,36.120.94.243,61.104.70.26,05-07-2019 10:52,1920 * 1200,5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,8.6821,50.1109,Germany,Frankfurt Am Main,Hessen,,www2.ee-ip.org/content/CompanyPage/show/econ-solutions-gmbh/file/309_Mit_Energie_in_die_vernetzte_Fabrik,,www.google.com,0,1,0,0,www.www2.ee-ip.org/content/CompanyPage/show/econ-solutions-gmbh/file/309_Mit_Energie_in_die_vernetzte_Fabrik
Ongame,638-809-0173,http://www.ongame.com,78.223.1.185,55.203.235.152,05-07-2019 09:36,1920 * 1080,5.0 (Windows),Firefox,Desktop,4.917,52.35,Netherlands,Amsterdam,Noord-Holland,,ee-ip.org/about,,www.google.com,0,1,0,0,www.ee-ip.org/about
Fanfou,925-725-7302,http://www.fanfou.com,67.238.76.252,132.181.68.224,05-07-2019 07:33,1680 * 1050,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21,Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles
Lagsoft,356-249-8047,http://www.lagsoft.com,54.239.129.21,188.129.236.2,04-07-2019 15:47,2133 * 1200,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763,Desktop,11.0768,49.452,Germany,Nuernberg,Bayern,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry,,t.co,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry
Tagshub,811-138-0349,http://www.tagshub.com,18.3.146.113,61.204.73.17,04-07-2019 15:44,1920 * 1200,5.0 (Windows),Firefox,Desktop,8.53695,47.37417,Switzerland,Zuerich,Zuerich,,ee-ip.org/articles/detailed/5744e330c75634733f10ed7a0b23a649/simply-not-enough,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/5744e330c75634733f10ed7a0b23a649/simply-not-enough
Testking,378-415-6197,http://www.testking.com,56.189.82.110,203.219.185.38,04-07-2019 15:25,1920 * 1080,5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.,Chrome/75.0.3770.80 Safari/537.36 OPR/62.0.3331.18,Desktop,4.62501,52.45821,Netherlands,Ijmuiden,Noord-Holland,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry,,t.co,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry
Tanzil,663-082-0807,http://www.tanzil.com,18.86.62.192,56.210.212.245,03-07-2019 20:03,1600 * 900,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,-74.4816,40.7968,United States,Morristown,New Jersey,,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,285,www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software --> www.ee-ip.org/articles/detailed/d9c5219111daf80821392c52155b09ca/can-data-analytics-replace-people-in-energy-efficiency
Deepin,904-519-3727,http://www.deepin.com,2.47.224.191,5.247.14.171,03-07-2019 11:18,1920 * 1080,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063,Desktop,15.665,46.578,Slovenia,Kosaki,Maribor,,ee-ip.org/articles/detailed/b875c3e979720a90462f44fb4669d063/how-greece-drives-energy-efficiency-5-innovative-companies,,,0,0,0,0,www.ee-ip.org/articles/detailed/b875c3e979720a90462f44fb4669d063/how-greece-drives-energy-efficiency-5-innovative-companies
Gavros,384-631-1482,http://www.gavros.com,207.35.162.157,165.133.229.120,03-07-2019 10:49,1280 * 720,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,9.9937,53.5511,Germany,Hamburg,Hamburg,,ee-ip.org/articles/detailed/ef1380f71ca6a485cb75724f21b675d8/the-benefit-of-compressed-air-systems-becoming-smart-a-boge-example,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/ef1380f71ca6a485cb75724f21b675d8/the-benefit-of-compressed-air-systems-becoming-smart-a-boge-example
Fanfou,925-725-7302,http://www.fanfou.com,67.238.76.252,132.181.68.224,03-07-2019 07:36,1680 * 1050,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21,Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles
Schneier,200-427-4926,http://www.schneier.com,186.185.97.185,48.12.47.163,02-07-2019 12:57,1024 * 768,5.0 (Windows),Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,,www.ee-ip.org
Rankage,407-506-7591,http://www.rankage.com,28.6.89.238,171.128.80.174,02-07-2019 12:06,1536 * 864,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,4.47013,50.88769,Belgium,Zaventem,Vlaams-Brabant,,ee-ip.org,,www.google.com,0,1,0,,www.ee-ip.org --> www.ee-ip.org/about
Schneier,200-427-4926,http://www.schneier.com,186.185.97.185,48.12.47.163,02-07-2019 10:28,1920 * 1200,5.0 (X11),Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,,www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/about --> www.ee-ip.org
Speedtv,866-218-3922,http://www.speedtv.com,208.56.182.138,11.60.196.125,02-07-2019 09:17,1366 * 768,5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,2.34107,48.86023,France,Paris,Paris,,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,,www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software
Fanfou,925-725-7302,http://www.fanfou.com,67.238.76.252,132.181.68.224,02-07-2019 08:32,1680 * 1050,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21,Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,,www.ee-ip.org/articles
Taipei,543-664-3092,http://www.taipei.com,174.121.176.202,49.120.55.113,01-07-2019 20:43,1600 * 900,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134,Desktop,-95.36769,29.75021,United States,Houston,Texas,,ee-ip.org/events/detailed/6759996f66ae1654afb775f685da6657/iea-global-conference-on-energy-efficiency-2018,,www.bing.com,0,1,0,,www.ee-ip.org/events/detailed/6759996f66ae1654afb775f685da6657/iea-global-conference-on-energy-efficiency-2018 --> www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/articles --> www.ee-ip.org/nc/business-practices --> www.ee-ip.org/nc/business-practices --> www.ee-ip.org/events
Juiceadv,225-747-8139,http://www.juiceadv.com,43.171.219.111,22.153.123.194,01-07-2019 17:45,1536 * 864,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,9.192,45.472,Italy,Milano,Milano,,www2.ee-ip.org/content/CompanyPage/show/swep-international/file/439_ORC-systems_are_helping_to_create_a_sustainable_energy_future,,www.linkedin.com,0,1,0,,www.www2.ee-ip.org/content/CompanyPage/show/swep-international/file/439_ORC-systems_are_helping_to_create_a_sustainable_energy_future
Python,829-474-5878,http://www.python.com,149.94.173.120,0.39.227.241,01-07-2019 15:19,2110 * 1187,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134,Desktop,8.496,49.009,Germany,Groetzingen,Baden-Wuerttemberg,,www2.ee-ip.org/content/CompanyPage/show/kownatzki-technology/file/232_Koennen_Planetenrollengetriebe_Hydraulik_ersetzen_,,www.google.de,0,1,0,,www.www2.ee-ip.org/content/CompanyPage/show/kownatzki-technology/file/232_Koennen_Planetenrollengetriebe_Hydraulik_ersetzen_
Magentic,724-367-7408,,106.161.154.232,86.192.233.202,01-07-2019 15:15,1280 * 768,5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Desktop,4.35249,50.84674,Belgium,Brussels,Brussels,,ee-ip.org,,,0,0,0,,www.ee-ip.org
Schneier,200-427-4926,http://www.schneier.com,186.185.97.185,48.12.47.163,01-07-2019 11:22,1920 * 1200,5.0 (X11),Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,36,www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/legal-notices --> www.ee-ip.org
Qieguo,960-056-9140,http://www.qieguo.com,207.104.50.33,38.120.244.61,30-06-2019 10:56,1366 * 768,5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML,Chrome/60.0.3112.50 Safari/537.36,Desktop,-82.99946,39.99558,United States,Columbus,Ohio,,ee-ip.org,,,0,0,0,0,www.ee-ip.org
Schneier,200-427-4926,http://www.schneier.com,54.41.80.112,199.65.199.214,28-06-2019 13:37,1920 * 1200,5.0 (Windows),Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,www.google.com,0,1,0,16,www.ee-ip.org --> www.ee-ip.org/about
Linkcool,724-367-7408,,41.171.17.241,243.170.143.141,28-06-2019 10:26,1477 * 923,5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0,Firefox,Desktop,27.56644,47.16855,Romania,Iasi,Iasi,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.ro,0,1,0,0,www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition
Schneier,200-427-4926,http://www.schneier.com,186.185.97.185,48.12.47.163,28-06-2019 09:53,1920 * 1200,5.0 (X11),Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,www.google.com,0,1,0,1605,www.ee-ip.org --> www.ee-ip.org
Redhat,724-367-7408,http://www.magentic.com,218.197.228.17,56.106.228.108,27-06-2019 19:53,1600 * 900,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/74.0.3729.169 Safari/537.36,Desktop,28.05639,-26.19917,South Africa,Johannesburg,Gauteng,,www2.ee-ip.org/content/CompanyPage/show/solvera-lynx/file/399_Energy_Management_System_in_steel_industry,,2llox.r.a.d.sendibm1.com,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/solvera-lynx/file/399_Energy_Management_System_in_steel_industry
Esdlife,724-367-7408,,207.226.211.106,152.197.233.136,27-06-2019 18:43,1366 * 768,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/74.0.3729.169 Safari/537.36,Desktop,26.09935,44.43655,Romania,Bucuresti,Bucuresti,,ee-ip.org/articles,,,0,0,0,3,www.ee-ip.org/articles --> www.ee-ip.org/articles/detailed/628f0f1eee2e8315aa40601b5c379f3c/what-the-energy-efficiency-community-can-learn-from-the-club-of-rome
Linkmela,311-231-7050,http://www.linkcool.com,178.98.157.102,94.14.223.53,27-06-2019 18:38,1280 * 800,5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebK,Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633,Mac,14.2352,40.8362,Italy,Napoli,Napoli,,ee-ip.org,,www.google.com,0,1,0,0,www.ee-ip.org
Esdlife,724-367-7408,,207.226.211.106,152.197.233.136,27-06-2019 18:20,360 * 640,5.0 (Linux; Android 6.0; ALE-L21) AppleWebKit/537,Version/4.0 Chrome/75.0.3770.101 Mobile Safari/537.36 Instagram 99.0.0.32.182 Android (28/9; 480dpi; 1080x2139; HUAWEI; POT-LX1; HWPOT-H; kirin710; en_GB; 160497915,Mobile,26.09935,44.43655,Romania,Bucuresti,Bucuresti,,ee-ip.org/articles/detailed/628f0f1eee2e8315aa40601b5c379f3c/what-the-energy-efficiency-community-can-learn-from-the-club-of-rome,,,0,0,0,535,www.ee-ip.org/articles/detailed/628f0f1eee2e8315aa40601b5c379f3c/what-the-energy-efficiency-community-can-learn-from-the-club-of-rome --> www.ee-ip.org/articles/detailed/628f0f1eee2e8315aa40601b5c379f3c/what-the-energy-efficiency-community-can-learn-from-the-club-of-rome
Forumpro,352-171-2345,http://www.redhat.com,141.215.133.58,225.226.68.224,27-06-2019 17:55,1290 * 726,5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537,Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134,Desktop,7.22739,50.14529,Germany,Ernst,Rheinland-Pfalz,,ee-ip.org/articles/detailed/b97292b5e1a44315e76ff3c246b183f1/digital-transformation-of-energy-utilities-shifting-gears,,www.bing.com,0,1,0,0,www.ee-ip.org/articles/detailed/b97292b5e1a44315e76ff3c246b183f1/digital-transformation-of-energy-utilities-shifting-gears
Bikhir,528-762-1187,http://www.esdlife.com,83.93.239.242,224.135.171.227,27-06-2019 16:28,1680 * 1050,5.0 (Windows),Firefox,Desktop,-1.27556,51.75,United Kingdom,Oxford,Oxfordshire,,ee-ip.org,,,0,0,0,3,www.ee-ip.org --> www.ee-ip.org --> www.ee-ip.org
Bikhir,528-762-1187,http://www.esdlife.com,83.93.239.242,224.135.171.227,27-06-2019 16:28,1680 * 1050,5.0 (Windows),Firefox,Desktop,-1.27556,51.75,United Kingdom,Oxford,Oxfordshire,,ee-ip.org,,,0,0,0,0,www.ee-ip.org
Anunico,317-042-0051,http://www.linkmela.com,163.237.40.1,255.231.2.223,27-06-2019 15:09,1280 * 1024,5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0,Firefox,Desktop,6.10624,49.61624,Luxembourg,Luxembourg,Luxembourg,,ee-ip.org/events/detailed/5d8db8f6b7b48c5c1bae69bc2a4ffbc3/2019-summer-study-on-energy-efficiency-in-industry-aceee,,2llox.r.a.d.sendibm1.com,0,0,0,0,www.ee-ip.org/events/detailed/5d8db8f6b7b48c5c1bae69bc2a4ffbc3/2019-summer-study-on-energy-efficiency-in-industry-aceee
