Organisation Name,Telephone Number,Website,Hostname,IP Address,Session Start Date/Time,Monitor Resolution,Operating System,Browser,Device Type,Longitude,Latitude,Country,Town / City,County / State,Registered Address,Entry Page,Keywords,Sources,PPC,Organic,Geolocated,Visit Duration,Page Visits
"Mundio Mobile Ltd","020 7536 4800",https://www.mundio.com/,46.43.176.118,46.43.176.118,"2019-07-09 17:35:37","360 * 780","5.0 (Linux; Android 9; SM-A505FN) AppleWebKit/537","Version/4.0 Chrome/72.0.3626.121 Mobile Safari/537.36 YJApp-ANDROID jp.co.yahoo.android.ybrowser/2.16.0.1",Mobile,-1.1101707,52.6366827,"United Kingdom",Leicester,Leicester,"54 Marsh Wall, London, E14 9TP",ee-ip.org/articles/detailed/1f94823dd90fe3a2b15e3b8f992c2d96/local-energy-aggregation-similarities-between-the-italian-hera-group-and-the-community-choice-energ,,www.google.com,0,1,1,0,www.ee-ip.org/articles/detailed/1f94823dd90fe3a2b15e3b8f992c2d96/local-energy-aggregation-similarities-between-the-italian-hera-group-and-the-community-choice-energ
"Gestore Dei Servizi Energetici Gse S.P.A.","""+39 06.9292.8540""",https://www.gse.it,89-97-69-100.ip16.fastwebnet.it,89.97.69.100,"2019-07-09 10:11:24","1152 * 720","5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0",Firefox,Desktop,12.3063,41.7755,Italy,Roma,Roma,,ee-ip.org/events/detailed/fe5ab9cc6d16bb52b19f099b4da8124c/sustainable-energy-investment-forum-financing-energy-efficiency-in-germany-france-and-austria,,www.google.it,0,1,0,0,www.ee-ip.org/events/detailed/fe5ab9cc6d16bb52b19f099b4da8124c/sustainable-energy-investment-forum-financing-energy-efficiency-in-germany-france-and-austria
Esco,"""+995 (32) 2401 420""",http://www.esco.com.ge/,mail.esco.com.ge,213.131.40.190,"2019-07-09 09:23:30","1366 * 768","5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,44.83368,41.69411,Georgia,Tbilisi,Tbilisi,,ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy,,www.google.com,0,1,0,110,"www.ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy --> www.ee-ip.org/articles --> www.ee-ip.org/services --> www.ee-ip.org --> www.ee-ip.org/services --> www.ee-ip.org/articles --> www.ee-ip.org/articles/detailed/7cc969ab93f80c76a54ecc339c544ae9/turkey-industrial-energy-efficiency-strategy"
"A Niemi Engineering Oy","""+358 40 5147 719""",http://www.niemiengineering.fi/,62-165-140-193.co.dnainternet.fi,62.165.140.193,"2019-07-09 07:44:40","1680 * 1050","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21",Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,"www.ee-ip.org/articles --> www.ee-ip.org/articles"
"Washington University",,wustl.edu,admin998.cec.wustl.edu,128.252.20.193,"2019-07-08 15:51:35","1344 * 840","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,-90.32606,38.64533,"United States","Saint Louis",Missouri,,ee-ip.org/articles/detailed/e360b8ba312356f89fce2817eb9aa841/choosing-the-best-techniques-for-waste-heat-recovery,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/e360b8ba312356f89fce2817eb9aa841/choosing-the-best-techniques-for-waste-heat-recovery
"Enter Srl","""+39 030 2000975""",https://www.entersrl.com/,host-42-48.248-87.enter.it,87.248.48.42,"2019-07-08 15:00:23","1280 * 720","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,9.2376,45.5135,Italy,Milano,Milano,,ee-ip.org,,www.google.com,0,1,0,1173,"www.ee-ip.org --> www.ee-ip.org"
"Hitachi, Ltd","""+81 3 3258 1111""",http://www.hitachi.co.jp/,px2.hitachi.co.jp,202.246.252.97,"2019-07-08 14:43:08","2560 * 1440","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",Desktop,139.63816,35.56698,Japan,Kawasaki-Shi,Kanagawa,,ee-ip.org/articles/detailed/1e5b82080686ae02120cc4a9400ac380/the-4th-utility-compressed-air,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/1e5b82080686ae02120cc4a9400ac380/the-4th-utility-compressed-air
"Diamant Boart","""+32 (0)68 25 12 11""",http://www.diamant-boart.com/,54.18-246-81.adsl-static.isp.belgacom.be,81.246.18.54,"2019-07-08 12:42:26","1500 * 1000","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,4.35249,50.84674,Belgium,Brussels,Brussels,,ee-ip.org,,www.google.com,0,1,0,4677,"www.ee-ip.org --> www.ee-ip.org --> www.ee-ip.org/articles"
"Kwame Nkrumah University",,,knumail.nkrumah.edu.zm,41.63.36.140,"2019-07-08 09:42:16","384 * 800","5.0 (Linux; Android 4.2.1; en-us; Nexus 5 Build/J","Chrome/38.0.1025.166 Mobile Safari/535.19",Mobile,-1.61083,6.68944,Ghana,Kumasi,Ashanti,,www2.ee-ip.org/content/CompanyPage/show/edur-pumpenfabrik,,,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/edur-pumpenfabrik
"Amazon.Com, Inc.",206-266-1000,https://www.amazon.com/,ec2-18-219-16-227.us-east-2.compute.amazonaws.com,18.219.16.227,"2019-07-08 00:35:47","1366 * 768","5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML","Chrome/60.0.3112.50 Safari/537.36",Desktop,-82.99946,39.99558,"United States",Columbus,Ohio,,ee-ip.org,,,0,0,0,9,"www.ee-ip.org --> www.ee-ip.org/about --> www.www2.ee-ip.org/content/CompanyPage/show/european-copper-institute/file/325_10_Facts_about_Energy_Management --> www.ee-ip.org/privacy"
Yandex,"""+1 617 398 7870""",https://yandex.com,100-43-90-112.spider.yandex.com,100.43.90.112,"2019-07-07 11:39:04","1280 * 960","""5.0 (compatible; YandexBot/3.0; +http://yandex.co""",Firefox,Desktop,-121.90678,37.34217,"United States","San Jose",California,,ee-ip.org/articles/detailed,,,0,0,0,0,www.ee-ip.org/articles/detailed
Wework,1-877-796-2434,https://www.wework.com/,63.98.217.210,63.98.217.210,"2019-07-06 20:08:32","1600 * 900","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",Desktop,-95.36769,29.75021,"United States",Houston,Texas,,ee-ip.org/events,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/events
"Amazon.Com, Inc.",206-266-1000,https://www.amazon.com/,ec2-52-14-183-77.us-east-2.compute.amazonaws.com,52.14.183.77,"2019-07-06 06:11:20","1366 * 768","5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML","Chrome/60.0.3112.50 Safari/537.36",Desktop,-82.99946,39.99558,"United States",Columbus,Ohio,,ee-ip.org,,,0,0,0,5,"www.ee-ip.org --> www.ee-ip.org/about --> www.www2.ee-ip.org/content/CompanyPage/show/european-copper-institute/file/325_10_Facts_about_Energy_Management --> www.ee-ip.org/privacy"
"Falk&Ross Group Europe Gmbh","""+49 (0)6303 800 270""",http://www.falk-ross.eu/,mail2.falk-ross.de,212.43.66.122,"2019-07-05 10:52:42","1920 * 1200","5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,8.6821,50.1109,Germany,"Frankfurt Am Main",Hessen,,www2.ee-ip.org/content/CompanyPage/show/econ-solutions-gmbh/file/309_Mit_Energie_in_die_vernetzte_Fabrik,,www.google.com,0,1,0,0,www.www2.ee-ip.org/content/CompanyPage/show/econ-solutions-gmbh/file/309_Mit_Energie_in_die_vernetzte_Fabrik
"Microsoft Corporation","0344 800 2400",https://www.microsoft.com,51.144.88.140,51.144.88.140,"2019-07-05 09:36:53","1920 * 1080","5.0 (Windows)",Firefox,Desktop,4.917,52.35,Netherlands,Amsterdam,Noord-Holland,,ee-ip.org/about,,www.google.com,0,1,0,0,www.ee-ip.org/about
"A Niemi Engineering Oy","""+358 40 5147 719""",http://www.niemiengineering.fi/,62-165-140-193.co.dnainternet.fi,62.165.140.193,"2019-07-05 07:33:39","1680 * 1050","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21",Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles
"Orcan Energy Ag","""+49.89.724 49 97-0""",http://www.orcan-energy.com,remote.orcan-energy.com,87.138.237.88,"2019-07-04 15:47:02","2133 * 1200","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",Desktop,11.0768,49.452,Germany,Nuernberg,Bayern,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry,,t.co,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry
"Foundation Myclimate The Climate Protection Partnership","""+41 44 500 43 50""",http://www.myclimate.org/,mycl-00-th-ser0.ce.ip-plus.net,212.243.95.50,"2019-07-04 15:44:43","1920 * 1200","5.0 (Windows)",Firefox,Desktop,8.53695,47.37417,Switzerland,Zuerich,Zuerich,,ee-ip.org/articles/detailed/5744e330c75634733f10ed7a0b23a649/simply-not-enough,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/5744e330c75634733f10ed7a0b23a649/simply-not-enough
"Tata Steel Ijmuiden Bv","""+ 31 (0) 251 499111""",http://www.tatasteel.nl,145.8.180.218,145.8.180.218,"2019-07-04 15:25:12","1920 * 1080","5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.","Chrome/75.0.3770.80 Safari/537.36 OPR/62.0.3331.18",Desktop,4.62501,52.45821,Netherlands,Ijmuiden,Noord-Holland,,www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry,,t.co,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/norsk-energi/file/102_Energy_Recovery_in_Metallurgical_Industry
"Honeywell International Inc.","001 (480) 353-3020",http://honeywell.com/,dce-nat149.honeywell.com,199.64.6.149,"2019-07-03 20:03:35","1600 * 900","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,-74.4816,40.7968,"United States",Morristown,"New Jersey",,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,285,"www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software --> www.ee-ip.org/articles/detailed/d9c5219111daf80821392c52155b09ca/can-data-analytics-replace-people-in-energy-efficiency"
"Informatika Informacijske Storitve In Inženiring D.D.","""+386 2 707 10 00""",http://www.informatika.si,91.216.172.193,91.216.172.193,"2019-07-03 11:18:30","1920 * 1080","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",Desktop,15.665,46.578,Slovenia,Kosaki,Maribor,,ee-ip.org/articles/detailed/b875c3e979720a90462f44fb4669d063/how-greece-drives-energy-efficiency-5-innovative-companies,,,0,0,0,0,www.ee-ip.org/articles/detailed/b875c3e979720a90462f44fb4669d063/how-greece-drives-energy-efficiency-5-innovative-companies
"Stylelounge Gmbh","""+49 (0)40 - 228 170 060""",https://www.stylelounge.de/,213.128.141.154,213.128.141.154,"2019-07-03 10:49:24","1280 * 720","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,9.9937,53.5511,Germany,Hamburg,Hamburg,,ee-ip.org/articles/detailed/ef1380f71ca6a485cb75724f21b675d8/the-benefit-of-compressed-air-systems-becoming-smart-a-boge-example,,www.google.com,0,1,0,0,www.ee-ip.org/articles/detailed/ef1380f71ca6a485cb75724f21b675d8/the-benefit-of-compressed-air-systems-becoming-smart-a-boge-example
"A Niemi Engineering Oy","""+358 40 5147 719""",http://www.niemiengineering.fi/,62-165-140-193.co.dnainternet.fi,62.165.140.193,"2019-07-03 07:36:14","1680 * 1050","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21",Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,0,www.ee-ip.org/articles
"University Of Applied Sciences Hamburg","""+49.40.428 75-0 """,https://www.haw-hamburg.de,141.22.122.121,141.22.122.121,"2019-07-02 12:57:55","1024 * 768","5.0 (Windows)",Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,,www.ee-ip.org
"Unix-Solutions Bvba","""+32 2 400 43 33""",https://www.unix-solutions.be/,195.189.202.34,195.189.202.34,"2019-07-02 12:06:25","1536 * 864","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,4.47013,50.88769,Belgium,Zaventem,Vlaams-Brabant,,ee-ip.org,,www.google.com,0,1,0,,"www.ee-ip.org --> www.ee-ip.org/about"
"University Of Applied Sciences Hamburg","""+49.40.428 75-0 """,https://www.haw-hamburg.de,141.22.122.121,141.22.122.121,"2019-07-02 10:28:09","1920 * 1200","5.0 (X11)",Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,,"www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/about --> www.ee-ip.org"
Accenture,"""+44 (0) 131 718 3500""",https://www.accenture.com,170.252.122.1,170.252.122.1,"2019-07-02 09:17:44","1366 * 768","5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,2.34107,48.86023,France,Paris,Paris,,ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software,,www.google.com,0,1,0,,www.ee-ip.org/articles/detailed/6aca03305a9634e44c6fa7393b5fd384/artificial-intelligence-in-energy-management-software
"A Niemi Engineering Oy","""+358 40 5147 719""",http://www.niemiengineering.fi/,62-165-140-193.co.dnainternet.fi,62.165.140.193,"2019-07-02 08:32:36","1680 * 1050","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/73.0.3683.103 Safari/537.36 OPR/60.0.3255.170 (Edition Campaign 21",Desktop,28.23565,61.04668,Finland,Lappeenranta,Etela-Karjala,,ee-ip.org/articles,,www.ee-ip.org,0,0,0,,www.ee-ip.org/articles
Wework,1-877-796-2434,https://www.wework.com/,63.98.217.210,63.98.217.210,"2019-07-01 20:43:19","1600 * 900","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",Desktop,-95.36769,29.75021,"United States",Houston,Texas,,ee-ip.org/events/detailed/6759996f66ae1654afb775f685da6657/iea-global-conference-on-energy-efficiency-2018,,www.bing.com,0,1,0,,"www.ee-ip.org/events/detailed/6759996f66ae1654afb775f685da6657/iea-global-conference-on-energy-efficiency-2018 --> www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/articles --> www.ee-ip.org/nc/business-practices --> www.ee-ip.org/nc/business-practices --> www.ee-ip.org/events"
"Regus Business Centres Italia Srl","800 553730",http://www.regus.it/,134.62-14-84.ripe.coltfrance.com,84.14.62.134,"2019-07-01 17:45:12","1536 * 864","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,9.192,45.472,Italy,Milano,Milano,,www2.ee-ip.org/content/CompanyPage/show/swep-international/file/439_ORC-systems_are_helping_to_create_a_sustainable_energy_future,,www.linkedin.com,0,1,0,,www.www2.ee-ip.org/content/CompanyPage/show/swep-international/file/439_ORC-systems_are_helping_to_create_a_sustainable_energy_future
"Wittenstein Se","""+49 7931 493-0""",https://www.wittenstein.de,194.25.164.29,194.25.164.29,"2019-07-01 15:19:47","2110 * 1187","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/64.0.3282.140 Safari/537.36 Edge/17.17134",Desktop,8.496,49.009,Germany,Groetzingen,Baden-Wuerttemberg,,www2.ee-ip.org/content/CompanyPage/show/kownatzki-technology/file/232_Koennen_Planetenrollengetriebe_Hydraulik_ersetzen_,,www.google.de,0,1,0,,www.www2.ee-ip.org/content/CompanyPage/show/kownatzki-technology/file/232_Koennen_Planetenrollengetriebe_Hydraulik_ersetzen_
Brussels,,,iplus.orbem-bgda.be,195.244.164.245,"2019-07-01 15:15:33","1280 * 768","5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Desktop,4.35249,50.84674,Belgium,Brussels,Brussels,,ee-ip.org,,,0,0,0,,www.ee-ip.org
"University Of Applied Sciences Hamburg","""+49.40.428 75-0 """,https://www.haw-hamburg.de,141.22.122.121,141.22.122.121,"2019-07-01 11:22:07","1920 * 1200","5.0 (X11)",Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,,0,0,0,36,"www.ee-ip.org --> www.ee-ip.org/about --> www.ee-ip.org/legal-notices --> www.ee-ip.org"
"Amazon.Com, Inc.",206-266-1000,https://www.amazon.com/,ec2-18-220-161-185.us-east-2.compute.amazonaws.com,18.220.161.185,"2019-06-30 10:56:31","1366 * 768","5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML","Chrome/60.0.3112.50 Safari/537.36",Desktop,-82.99946,39.99558,"United States",Columbus,Ohio,,ee-ip.org,,,0,0,0,0,www.ee-ip.org
"University Of Applied Sciences Hamburg","""+49.40.428 75-0 """,https://www.haw-hamburg.de,141.22.122.163,141.22.122.163,"2019-06-28 13:37:07","1920 * 1200","5.0 (Windows)",Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,www.google.com,0,1,0,16,"www.ee-ip.org --> www.ee-ip.org/about"
"Technical University Of Iasi",,,81.180.218.217,81.180.218.217,"2019-06-28 10:26:18","1477 * 923","5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0",Firefox,Desktop,27.56644,47.16855,Romania,Iasi,Iasi,,ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition,,www.google.ro,0,1,0,0,www.ee-ip.org/articles/detailed/7a63d03adb027ab72323daa86bdbd98d/electric-vehicles-heat-pumps-electric-motors-play-a-crucial-role-in-the-energy-transition
"University Of Applied Sciences Hamburg","""+49.40.428 75-0 """,https://www.haw-hamburg.de,141.22.122.121,141.22.122.121,"2019-06-28 09:53:58","1920 * 1200","5.0 (X11)",Firefox,Desktop,10.0107,53.5583,Germany,Hamburg,Hamburg,,ee-ip.org,,www.google.com,0,1,0,1605,"www.ee-ip.org --> www.ee-ip.org"
"University Of The Witwatersrand",,wits.ac.za,146.141.14.170,146.141.14.170,"2019-06-27 19:53:24","1600 * 900","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/74.0.3729.169 Safari/537.36",Desktop,28.05639,-26.19917,"South Africa",Johannesburg,Gauteng,,www2.ee-ip.org/content/CompanyPage/show/solvera-lynx/file/399_Energy_Management_System_in_steel_industry,,2llox.r.a.d.sendibm1.com,0,0,0,0,www.www2.ee-ip.org/content/CompanyPage/show/solvera-lynx/file/399_Energy_Management_System_in_steel_industry
"Upc Romania Aftr",,,78.96.83.102,78.96.83.102,"2019-06-27 18:43:01","1366 * 768","5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537","Chrome/74.0.3729.169 Safari/537.36",Desktop,26.09935,44.43655,Romania,Bucuresti,Bucuresti,,ee-ip.org/articles,,,0,0,0,3,"www.ee-ip.org/articles --> www.ee-ip.org/articles/detailed/628f0f1eee2e8315aa40601b5c379f3c/what-the-energy-efficiency-community-can-learn-from-the-club-of-rome"
"Doxa S.P.A.","""+39 02 4819 3320""",http://www.doxa.it/,213.86.211.130,213.86.211.130,"2019-06-27 18:38:54","1280 * 800","5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebK","Chrome/75.0.3770.100 Safari/537.36 PTST/SpeedCurve/190626.190633",Mac,14.2352,40.8362,Italy,Napoli,Napoli,,ee-ip.org,,www.google.com,0,1,0,0,www.ee-ip.org
